# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: One-point
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	352	41	4	3753	2721	0	-132	-294	713	309	-199	895	454	-995	993	733	590	-702	3319	576
1	599	127	5	3723	1868	0	799	808	713	309	-831	895	454	-814	993	555	627	-702	10449	544
2	755	197	6	3476	1691	0	799	925	457	858	-831	-189	126	-814	613	555	999	-22	15066	521
3	2079	239	17	2828	1576	0	649	778	996	-173	135	490	19	-1117	694	70	627	-671	16034	509
4	1999	320	36	2720	1442	0	973	778	713	-173	-237	-447	723	-814	993	70	627	-671	22681	483
5	3283	349	11	3005	1332	0	649	778	996	-360	160	490	609	-720	-98	70	627	-671	28094	466
6	6351	526	13	3256	1335	0	0	1481	19	-129	-171	-533	609	-198	-98	70	627	-671	39205	452
7	9239	842	44	2583	1290	0	649	778	978	-129	-662	490	19	-720	-98	70	627	-671	65230	416
8	15887	1295	62	2237	1083	0	649	783	996	-129	-304	-533	609	-361	-98	70	939	-671	107790	342
9	16468	1725	33	2281	960	0	0	1481	978	-129	-171	490	19	-198	-98	70	627	-466	123801	315
10	14446	1781	37	2407	965	0	199	778	996	-129	-662	490	19	-1117	-98	68	627	-399	131704	306
11	6825	1596	56	2335	1049	0	199	778	1325	-129	-662	286	19	-288	-98	70	1075	-842	143590	298
12	16729	2542	136	2295	1195	0	337	1337	996	-129	-394	584	19	-198	-98	70	627	-660	161648	270
13	16988	2758	10	2168	1159	0	455	1582	1234	-307	-662	175	609	-720	-148	68	726	-671	177690	254
14	14738	3001	38	2348	1114	0	199	871	763	-129	-394	490	23	-720	-146	70	627	-783	183593	263
15	16626	2967	18	2289	1221	0	455	2430	1449	-99	-394	175	1156	-476	-98	68	726	-399	177993	261
16	14493	2819	14	2459	1089	0	337	778	1325	-129	-217	175	21	-198	-148	70	726	-1496	188898	283
17	20132	2667	37	2304	980	0	649	778	2336	-104	-394	490	19	-720	-120	70	926	-660	182794	306
18	13065	2665	73	2348	1109	0	777	1337	3698	-871	-394	490	1156	-56	-138	68	627	-399	190864	298
19	20162	3171	40	2345	1101	0	916	2430	1449	-129	-662	584	1156	-198	-107	70	627	-671	189586	327
20	33264	2939	155	2422	1089	0	777	891	1325	-1261	-662	175	603	-279	-89	27	610	-399	204087	318
21	27733	3292	109	2215	1073	0	649	534	1730	-307	-662	134	407	-279	-125	68	627	-399	225632	305
22	16604	3694	133	2183	1086	0	199	2430	996	-737	-399	808	603	-89	-107	68	627	-660	260265	292
23	31126	4542	88	2112	1056	0	916	1474	1680	-1261	-460	175	1156	-4	-107	38	610	-16	284016	283
24	30710	3521	105	2227	954	0	1241	2430	1449	-386	-506	584	1156	-89	-148	38	769	-671	273901	275
25	20164	3893	56	2295	1106	0	777	1482	1922	-129	-782	516	513	-198	-103	68	627	-660	250010	304
26	20118	3274	40	2321	1075	0	777	597	1922	-129	-662	213	603	-88	-100	68	627	-660	229923	308
27	28569	3817	104	2474	1074	0	649	1481	1325	-737	-662	286	603	-708	-174	131	627	-822	245320	306
28	21599	3853	86	2452	1081	0	317	1337	1922	-737	-376	484	508	-428	-98	34	627	-660	267389	307
29	20981	3925	63	2135	1077	0	777	1215	1922	-129	-402	375	603	-708	-174	36	627	-16	264814	311
