# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	437	15	0	3678	1833	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2636	573	1.42
1	447	38	0	3633	1821	0	49	599	103	437	461	48	865	77	-384	105	609	280	0.696	2.69	-1.34	2.7	-0.372	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	6722	553	1.35
2	790	68	0	3574	1746	0	950	599	847	126	-47	48	768	-138	-641	105	609	280	2.44	2.68	2.41	1.65	-0.915	1.97	1.24	1.2	1.21	-0.735	1.77	0.564	12579	506	1.26
3	519	106	0	3574	1530	0	148	599	-468	122	-829	-540	768	-468	553	13	825	280	2.46	2.5	2.41	1.83	-0.374	0.284	1.24	0.958	-1.89	-1.94	1.11	1.89	18512	452	1.18
4	1287	132	0	3476	1652	0	753	863	662	11	-47	375	870	-269	878	105	609	412	2.45	2.68	2.41	1.96	-0.915	2.93	1.92	0.958	1.21	-0.735	1.78	0.564	22165	446	1.18
5	1645	180	0	3292	1488	0	753	599	-130	695	135	307	958	-468	553	936	387	-1012	-1.96	2.68	2.39	1.83	-0.374	1.37	1.24	2.08	1.21	-0.735	1.77	2.83	33612	426	1.12
6	1376	273	6	3323	1440	0	753	599	-130	122	135	307	317	-468	553	936	387	342	-1.96	2.7	2.39	1.83	-0.374	1.37	1.24	2.08	1.21	-0.735	1.77	2.83	47164	395	0.99
7	2862	351	12	3447	1445	0	986	599	220	-324	-52	268	958	-327	313	936	445	280	-1.31	2.68	2.41	1.83	-0.915	0.785	1.24	2.08	1.61	-0.735	1.77	1.89	61098	390	0.912
8	5309	554	12	2555	1249	0	182	599	220	-59	-47	469	854	-133	949	105	387	280	-1.31	2.68	2.41	2.7	-0.92	1.58	1.24	1.21	1.21	-0.735	1.8	2.87	100287	355	0.728
9	5506	654	9	3620	1231	0	167	599	847	-324	-698	-107	854	-559	313	22	387	342	-1.95	2.71	2.41	1.96	-0.376	1.58	1.24	1.21	1.61	-0.735	1.78	1.89	118291	367	0.702
10	5764	972	10	2816	1162	0	429	599	847	106	-52	268	646	-468	931	94	445	-1012	-1.96	2.66	2.42	1.83	-0.915	0.287	1.24	2.08	1.61	-0.736	1.8	0.563	149402	359	0.648
11	5600	1210	59	2387	1283	0	-3	599	847	695	-698	307	1658	-153	313	79	387	790	2.44	2.68	2.42	2	1.01	1.6	1.92	1.2	1.61	-0.737	1.77	1.89	158473	382	0.603
12	6167	1117	24	2683	1212	0	114	651	220	177	-442	-442	865	-224	553	925	445	308	-1.31	2.59	2.42	2.14	-0.921	1.58	1.24	1.21	1.61	-0.736	1.77	2.82	165381	387	0.531
13	8639	1168	8	3356	1206	0	429	599	1141	130	-111	686	958	-559	313	94	387	-1012	-1.31	2.7	2.41	1.83	-0.915	1.37	1.24	1.23	1.61	-0.735	1.76	0.563	182498	387	0.498
14	6885	1237	66	2237	1308	0	57	175	847	-324	-73	-107	667	-265	313	92	387	-1012	-1.96	2.71	2.41	2.7	-0.915	1.37	1.97	1.22	1.61	-0.735	1.75	-0.378	188487	368	0.503
15	5636	1163	33	2333	1170	0	39	599	847	-324	-698	541	667	-950	553	287	256	342	-1.95	2.71	2.42	1.99	-0.913	1.98	1.27	1.21	1.22	-0.736	1.76	2.83	191671	349	0.52
16	5205	1296	24	2438	1125	0	39	447	847	-324	-135	541	854	-559	553	223	290	307	2.45	2.71	2.23	1.99	-0.913	1.98	1.27	1.21	1.62	-0.736	1.76	1.89	212902	368	0.483
17	7955	1278	6	3554	1332	0	42	599	1141	109	-87	469	1463	-468	553	105	387	280	-1.93	2.72	2.39	1.85	-0.907	0.79	1.92	1.22	1.61	-0.735	1.77	-0.378	205908	354	0.481
18	5270	1427	11	2790	1212	0	114	581	-176	695	-87	-152	958	-463	380	26	411	280	-1.31	2.71	2.41	1.64	-0.92	1.55	1.94	1.21	1.59	-0.736	1.77	-0.378	222322	353	0.476
