# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	279	14	0	3648	1815	0	966	812	-130	695	998	-735	-953	-176	-851	947	896	-401	2.76	1.14	1.57	0.202	-1.87	1.53	2.64	2.08	-0.119	2.49	-1.23	2.83	2547	573	1.42
1	603	37	0	3480	1973	0	966	812	-130	524	998	-735	-953	660	-851	719	280	-401	2.76	1.14	1.57	0.202	-1.87	1.53	2.64	0.603	-0.118	2.49	1.89	-0.81	5696	596	1.39
2	316	58	0	3544	1979	0	753	599	-130	524	998	-735	431	175	-384	719	280	-401	2.76	2.69	1.28	0.202	-1	1.97	1.24	0.603	-0.119	2.49	1.88	-0.81	10672	569	1.29
3	347	86	0	3468	1781	0	950	812	958	126	117	870	-2	-87	-1003	13	896	859	2.44	2.69	2.41	2.7	2.33	1.97	2.64	-0.311	-0.117	-0.732	1.78	2.78	14746	566	1.2
4	1159	125	7	3549	1767	0	950	812	-130	524	117	1301	768	175	-384	13	609	859	2.45	2.69	2.41	0.202	2.32	1.97	2.64	-0.311	-0.826	-0.732	1.78	-0.81	17659	547	1.15
5	714	124	6	3566	1664	0	950	812	958	650	117	48	768	175	-411	13	280	859	2.45	2.69	2.41	0.202	-1.87	1.97	2.64	-0.311	-0.826	-0.732	-0.136	-0.81	20787	551	1.1
6	572	127	7	3320	1602	0	950	812	958	524	-336	-735	768	102	-384	13	280	-766	2.76	2.69	2.41	0.202	2.32	1.97	2.62	0.603	-0.826	1.9	1.8	-0.81	21467	516	1.06
7	1295	150	6	3389	1676	0	299	812	958	437	-199	1466	-341	-87	-1003	13	280	-401	2.47	2.69	2.41	0.2	-0.372	1.37	1.24	-0.216	-1.32	1.92	1.89	0.568	24359	517	0.998
8	1732	188	8	3285	1584	0	235	812	-9	524	-336	-735	768	102	-1003	13	280	-766	2.76	2.65	2.41	0.2	2.34	1.37	1.24	-0.216	-1.32	1.88	1.89	0.568	29049	502	0.943
9	2680	237	9	3135	1616	0	299	812	958	524	-199	-735	0	102	-87	12	280	-441	2.47	2.69	1.28	0.202	2.32	1.37	1.24	-0.311	-0.826	1.92	1.89	2.32	32549	485	0.865
10	1792	282	7	3268	1420	0	299	812	-99	437	-621	-735	0	102	-87	12	590	-441	2.47	2.69	1.28	0.202	2.33	1.33	1.24	-0.311	-0.116	1.92	1.89	2.32	51709	431	0.735
11	4846	302	17	2604	1244	0	299	812	958	-99	-87	-735	710	102	-472	12	280	-394	2.47	2.75	2.41	1.53	2.32	1.92	2.7	-0.216	-1.32	1.92	1.81	-0.834	56005	423	0.668
12	2811	466	14	3031	1371	0	299	524	-70	524	-87	-735	710	102	-472	12	280	-394	2.47	2.75	2.38	0.198	2.32	1.92	2.69	0.604	-1.32	1.88	1.81	-0.828	76513	404	0.603
13	3657	658	6	3266	1344	0	299	812	1291	650	-336	-735	768	102	-121	8	280	-485	2.47	2.71	2.41	0.202	-1.02	1.38	2.7	0.603	-1.32	1.97	1.81	2.29	97265	324	0.602
14	4158	600	34	2504	1139	0	299	1111	-70	-55	-199	-735	768	102	-201	13	235	-441	2.47	2.69	2.38	1.53	2.32	1.92	2.62	-0.216	-1.32	1.88	1.89	0.558	107794	314	0.59
15	9268	789	60	2340	1197	0	299	812	958	524	-478	-241	1160	-874	-211	13	280	-258	2.47	2.58	2.41	0.2	2.28	1.38	2.62	-0.216	-1.31	1.86	1.89	2.81	119719	301	0.585
16	5794	787	35	2359	1102	0	299	812	958	-99	-336	-603	1160	102	-201	13	280	-258	2.47	2.74	2.41	0.2	2.28	1.37	1.27	-0.216	-0.813	1.91	1.89	2.81	125539	269	0.589
17	2688	687	7	3432	1070	0	187	1789	854	265	-314	-624	272	-302	-1003	4	82	-540	2.47	2.65	2.43	1.56	2.32	1.39	2.62	0.613	-0.826	1.88	1.81	-0.834	134583	273	0.576
18	6489	887	8	2318	1217	0	299	1114	1354	-99	-684	-735	1215	-874	-211	13	201	-329	2.5	2.58	2.42	1.53	-1.85	1.37	2.62	-0.312	-0.121	1.86	1.89	-0.816	137127	260	0.57
19	5687	1041	116	2387	1224	0	187	812	958	317	86	-735	266	558	-78	8	280	-540	2.38	2.73	2.46	0.2	2.32	1.37	2.64	0.619	-0.837	1.88	1.89	2.3	158946	260	0.571
20	5320	1038	7	2253	1159	0	299	643	958	208	-407	-202	272	102	-86	8	154	-540	2.47	2.58	2.41	1.54	2.3	0.283	2.62	-0.31	-1.32	1.91	1.81	-0.834	166043	268	0.559
21	5645	1022	8	2303	1081	0	299	643	958	208	-407	-735	1218	58	-378	8	280	-615	2.47	2.58	2.4	1.54	2.28	0.319	2.62	-0.311	-1.32	1.91	1.81	-0.834	174766	275	0.559
22	16330	1221	30	2356	1276	0	191	835	970	524	-160	-735	1160	-37	-211	5	280	-258	2.48	2.74	2.42	1.55	2.33	1.37	2.62	-0.214	-0.837	1.91	1.89	-0.834	184677	262	0.522
23	5739	1408	39	2389	1258	0	55	812	962	384	-139	-735	859	113	-245	8	280	-441	2.47	2.71	2.42	0.203	2.29	1.39	2.62	0.617	-1.32	1.88	1.91	2.29	205914	259	0.492
24	9017	1390	82	2357	1154	0	187	978	970	14	-160	-202	1215	558	-245	8	298	-540	2.45	2.68	2.45	0.206	2.37	0.318	2.63	0.617	-0.837	1.92	1.89	-0.834	209805	249	0.464
25	6444	1401	8	2227	1182	0	299	783	958	524	-407	-202	710	-386	-378	8	154	-441	2.49	2.68	2.41	0.201	2.3	0.32	2.62	0.623	-1.31	1.82	1.81	2.31	219876	242	0.458
26	6444	1291	88	2167	1144	0	191	812	958	524	-407	-119	859	58	-245	11	280	-441	2.51	2.58	2.47	1.52	2.29	0.283	2.62	-0.216	-1.32	1.91	1.89	2.3	220886	250	0.477
27	5279	1405	6	3342	1225	0	244	657	962	232	-423	-189	1025	-874	-211	8	295	-808	2.48	2.74	2.46	1.55	2.27	0.316	2.67	0.623	-1.32	1.92	1.88	2.29	232781	255	0.447
28	9290	1717	60	2346	1252	0	228	657	958	524	-423	-335	710	-874	-426	5	280	-97	2.49	2.69	2.41	0.193	2.3	1.38	2.66	0.623	-0.829	1.89	1.88	2.31	213219	260	0.443
29	6329	1518	69	2229	1273	0	149	1104	958	234	-407	-189	710	-874	-278	8	154	-148	2.44	2.74	2.35	1.51	-1.87	0.316	2.65	-0.31	-0.834	1.88	1.88	2.29	235391	249	0.443
