# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	543	39	4	0	0	0	-507	576	117	32	697	55	296	490	-98	562	689	-750	114	576
1	1155	105	5	0	0	0	-507	576	651	823	-877	-472	296	348	-98	400	689	-750	278	545
2	1137	173	6	0	0	0	912	710	978	400	-882	-569	164	-709	-379	685	830	592	377	517
3	1081	225	9	0	0	0	-938	576	978	-909	52	41	173	-227	-379	724	273	592	496	502
4	2756	284	19	0	0	0	-507	576	999	-1425	52	-902	75	13	229	72	843	-88	697	496
5	2057	325	14	0	0	0	291	576	978	-682	-853	757	611	-227	-379	400	959	859	752	486
6	2786	345	16	0	0	0	-507	710	1133	-1571	52	-902	238	15	229	58	830	-88	830	483
7	3281	485	8	0	0	0	1216	-163	978	596	-1003	-902	776	-709	229	58	689	26	1109	458
8	4988	541	10	0	0	0	912	568	1695	-909	-725	673	121	15	-379	91	965	-1101	1360	484
9	4028	587	19	0	0	0	912	365	1405	-433	-853	-472	776	-894	-379	305	830	859	1385	491
10	5152	569	14	0	0	0	1532	679	1684	-909	-267	673	311	348	-379	80	830	-750	1308	468
11	7940	738	17	0	0	0	1532	679	1684	-909	-496	834	-170	-709	-379	58	689	-750	1852	469
12	6426	830	16	0	0	0	750	884	1405	-1264	-301	673	156	-1025	-274	97	873	1117	1844	477
13	7421	906	18	0	0	0	784	763	2270	-1651	-267	41	311	15	-379	80	689	-88	2001	451
14	12896	1157	23	0	0	0	740	763	2270	-1651	-164	41	335	15	-379	80	863	-88	2631	435
15	15981	1714	14	0	0	0	784	347	1959	-1651	-267	15	335	15	-379	80	863	-88	3715	406
16	19920	2602	34	0	0	0	912	884	1684	-909	-509	43	1055	0	-379	80	843	51	6242	369
17	13496	2635	65	0	0	0	784	686	1959	-433	-267	55	776	29	-274	91	787	-88	5809	334
18	28665	2912	20	0	0	0	939	392	2368	-1651	-882	41	335	-84	-379	80	689	26	7336	318
19	15995	2923	21	0	0	0	784	763	2270	-2458	-286	41	335	-163	-394	91	873	-88	6399	297
20	18790	2739	49	0	0	0	1133	392	2368	-1225	-307	41	470	15	-379	76	827	-88	6206	302
21	21237	3583	50	0	0	0	784	686	2727	-1341	-307	41	776	15	-88	50	689	-88	7833	295
22	25436	3612	60	0	0	0	784	763	4122	-2179	-83	41	871	611	-324	70	1115	3	8227	308
23	20811	2996	34	0	0	0	784	932	2727	-2458	-196	41	871	15	-611	80	689	825	7440	323
24	34360	4106	70	0	0	0	712	710	2270	-1806	-307	24	422	-163	-394	91	835	41	9407	297
25	20900	3241	66	0	0	0	784	576	4122	-1651	-267	834	608	10	-324	70	685	41	7561	313
26	18640	3793	53	0	0	0	784	392	2368	-1806	-320	15	305	-163	-379	80	1174	1390	8533	323
27	19634	3985	40	0	0	0	168	763	1892	-2179	-307	41	608	15	-277	80	260	1689	8794	326
28	35441	4550	35	0	0	0	784	763	3372	-2754	-349	40	981	4	-379	80	689	825	10186	366
29	38980	4605	35	0	0	0	784	884	1959	-4956	-267	53	608	-164	-379	50	685	-82	10270	363
