# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	933	45	4	3738	2641	0	912	387	-121	-471	-718	-533	952	-709	666	685	830	-473	3309	576
1	1169	146	6	3660	1870	0	-964	952	694	-906	-135	543	247	-914	53	58	959	-422	10621	565
2	1125	224	5	3445	1524	0	668	925	-288	-185	-267	747	-349	-127	53	28	372	392	16138	532
3	2227	268	9	3381	1444	0	331	952	117	-1053	-119	-838	475	-709	-113	58	959	-370	19965	507
4	2886	281	10	3285	1271	0	668	952	978	-909	30	55	173	-227	1161	58	959	-422	26301	489
5	2256	382	14	2587	1180	0	403	952	910	-173	697	55	675	-758	694	58	830	-473	31578	450
6	11430	663	20	3046	1246	0	649	808	910	-115	-833	104	28	-138	293	58	830	-473	43525	426
7	5807	938	13	2648	1198	0	668	952	978	-909	-267	32	247	-847	-113	61	959	-750	67259	392
8	10621	1320	64	2409	1021	0	631	952	1508	-234	-267	37	247	-847	103	23	830	-750	97905	345
9	8509	1809	42	2376	976	0	649	808	918	-1053	-715	-516	173	-706	287	58	959	550	115429	332
10	11449	2097	28	2352	1037	0	799	621	1611	-463	-718	37	226	-758	-252	58	959	582	136285	327
11	20122	2712	37	2355	1094	0	331	952	1457	-234	-833	-154	450	-847	488	61	1584	-462	149544	321
12	15288	2438	19	2369	1090	0	912	952	1457	-539	-267	72	197	-150	293	58	959	-750	154756	353
13	10671	3092	30	2257	1251	0	649	952	978	-297	-718	55	173	-847	-148	58	959	582	157011	355
14	14600	2258	38	2292	1094	0	788	1017	1698	-463	-11	55	145	-138	337	30	959	582	156733	382
15	21288	2602	28	2455	1168	0	649	808	2827	-539	-267	12	450	-227	-63	58	1070	-587	163531	369
16	18994	3234	18	2584	1235	0	649	952	1457	-539	-267	12	145	-227	-63	58	959	-587	172901	335
17	14410	3598	61	2153	1194	0	649	808	2827	-363	-267	-160	882	-354	-63	58	1070	-514	205980	288
18	16701	3747	71	2289	1280	0	649	952	1457	-274	-267	37	450	-227	-63	58	959	-750	206886	272
19	24980	3973	87	2358	1219	0	649	621	2827	-463	-248	-160	450	-124	-63	58	959	-462	202687	261
20	15691	3405	111	2235	1079	0	649	621	2827	-381	15	43	171	-124	-63	43	959	-952	229731	250
21	43377	4178	117	2296	1272	0	690	692	3128	-1053	-16	37	531	-499	-92	43	959	-750	226396	248
22	15611	4016	29	2298	1261	0	984	808	2827	-134	-545	49	171	-138	15	58	1509	-750	212121	257
23	19658	4240	79	2288	1194	0	649	860	1457	-786	-485	-62	366	-354	179	42	959	-542	231254	248
24	18019	4632	18	2204	1161	0	649	606	2827	-410	-51	17	171	-76	-24	52	959	-480	247133	257
25	39383	5137	145	2220	1390	0	649	860	1457	-1053	-452	51	551	-354	-24	42	771	-4	243692	266
26	24564	4576	64	2182	1141	0	367	1235	2827	-454	-267	9	450	-76	199	58	959	-587	257608	273
27	32394	5101	147	2317	1305	0	649	860	1457	-887	-452	15	551	-142	-63	42	771	-4	253188	261
28	30359	4682	36	2215	1189	0	649	860	1457	-887	-452	12	551	-138	-63	22	771	-542	273503	243
29	22206	4612	89	2343	1208	0	649	1202	1457	-887	-452	12	450	-138	-63	42	771	-542	268148	255
