# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	345	44	4	3648	2710	0	-132	-294	713	309	-199	895	454	-995	993	733	590	-702	3255	576
1	735	114	6	3607	1981	0	799	808	-59	730	-697	-189	985	240	401	340	627	743	8495	562
2	708	152	8	3586	1755	0	799	356	-59	-125	-697	-189	257	-227	-252	340	507	-88	11356	553
3	953	234	14	2715	1541	0	-938	808	978	456	142	40	173	-709	-41	875	830	46	14742	542
4	1243	255	15	2674	1464	0	912	-32	1778	456	-143	40	916	510	1334	503	439	282	17383	525
5	1255	297	21	2676	1526	0	261	1084	572	-556	392	-677	1090	133	464	875	830	592	19527	485
6	1980	322	60	2588	1438	0	-132	762	845	192	-831	41	327	-248	-47	545	830	691	22541	461
7	2194	375	61	2657	1575	0	-132	1215	845	382	-831	41	327	-248	464	545	993	691	22084	471
8	1409	377	45	2606	1597	0	-132	710	1348	730	-779	41	527	-690	-41	545	647	488	24854	452
9	4373	470	31	2663	1536	0	799	765	1465	-556	-697	41	327	99	-30	185	1631	28	28451	463
10	6047	714	31	2668	1439	0	138	765	981	-556	-697	41	327	240	-30	185	483	46	42792	448
11	6987	847	17	3232	1405	0	799	765	799	502	-793	-442	470	133	-30	185	1090	-678	54265	433
12	8503	1044	79	2596	1218	0	799	765	1465	730	-697	41	327	-690	-30	97	483	46	74697	405
13	10240	1339	30	2415	999	0	799	765	1465	730	-479	41	527	-690	-41	34	721	46	86811	392
14	9079	1585	41	2434	1299	0	799	765	1790	-556	-480	41	327	432	-30	185	1631	297	110772	368
15	19685	1855	29	2353	1075	0	10	570	1790	-556	-153	41	327	432	-30	97	830	-678	117064	340
16	15708	1997	10	2354	1145	0	799	991	1790	-556	-350	61	327	240	-30	111	830	36	140592	341
17	17178	2161	35	2280	1152	0	138	1215	2131	-556	-428	41	455	-248	-30	119	1090	16	143246	317
18	10218	2419	121	2293	1230	0	799	765	1790	-556	-400	41	327	58	-45	34	830	46	174019	305
19	13139	2347	128	2368	1212	0	799	1380	1790	-751	-491	41	327	417	-15	111	830	37	157261	318
20	18158	2706	27	2338	1128	0	955	690	1790	-25	-428	30	548	-248	-45	34	830	8	181092	287
21	18773	2749	217	2275	1065	0	799	1215	1790	-871	-491	46	327	99	-15	72	830	58	179916	260
22	17108	3400	155	2331	1142	0	799	633	3108	-595	-400	41	423	240	-44	111	830	19	210904	252
23	20187	3488	137	2267	1132	0	799	1215	1479	-595	-480	41	423	240	-44	111	1154	-367	223174	255
24	24769	3753	24	2482	1151	0	21	1380	2127	-14	-428	34	578	-140	-24	111	830	15	217523	243
25	32180	3434	24	2229	1056	0	0	1180	2479	-393	-270	41	754	-248	-41	108	830	29	219029	225
26	22938	3088	78	2307	1113	0	186	1338	1484	-595	-180	40	298	-248	-15	108	1122	30	210680	217
27	20733	3138	41	2429	1155	0	353	1652	1479	-493	-270	61	754	-175	-12	97	1246	36	206692	224
28	28650	3617	88	2271	1093	0	0	1338	1790	-587	-255	10	665	-248	-15	108	1122	69	231402	211
29	18794	3707	41	2226	1195	0	775	1288	2468	-871	-253	32	557	99	-15	111	1090	17	240519	206
